"transaction_id","id","date","item_code","game_items","seller_id"
"2586715141","92-3566837","2020-08-17",6010,Book of Legends,"888991"
"2885187469","27-1474866","2020-08-24",6010,Book of Legends,"888986"
"3052146541","25-9689267","2020-08-01",6010,Book of Legends,"888986"
"3126590869","33-4012373","2021-04-01",6010,Book of Legends,"888910"
"3149709853","36-7554477","2020-12-17",6010,Book of Legends,"888991"
"3252349957","70-9877808","2021-03-29",6010,Book of Legends,"888903"
"3280995553","94-1237794","2021-03-19",6010,Book of Legends,"888912"
"3399725101","46-2806109","2020-08-18",6010,Book of Legends,"888987"
"3890021845","05-4786250","2020-09-07",6010,Book of Legends,"888993"
"3890168257","05-4786250","2020-11-01",6010,Book of Legends,"888986"
"4076379625","76-2987099","2020-12-29",6010,Book of Legends,"888904"
"4274032297","19-4544004","2020-07-29",6010,Book of Legends,"888993"
"5261440117","81-1022959","2020-10-04",6010,Book of Legends,"313039"
"5386017325","43-1868563","2021-03-08",6010,Book of Legends,"150985"
"5386043785","43-1868563","2021-03-26",6010,Book of Legends,"188961"
"5388187045","72-0934948","2020-09-20",6010,Book of Legends,"770066"
"6424642885","54-3817961","2020-11-21",6010,Book of Legends,"651796"
"6921665761","36-4308794","2020-08-09",6010,Book of Legends,"888991"
"6976520869","07-9192571","2021-04-01",6010,Book of Legends,"888986"
"7010093317","68-7223575","2021-01-05",6010,Book of Legends,"560505"
"7010095081","68-7223575","2021-01-05",6010,Book of Legends,"560505"
"7158697969","06-2087517","2020-09-07",6010,Book of Legends,"888990"
"7159795177","06-2087517","2020-09-19",6010,Book of Legends,"888993"
"7159839277","06-2087517","2020-09-20",6010,Book of Legends,"888992"
"7535375473","54-9985409","2021-01-13",6010,Book of Legends,"888992"
"7588166701","28-4803025","2020-10-26",6010,Book of Legends,"888993"
"7810845241","02-7424672","2021-03-18",6010,Book of Legends,"888915"
"7981805065","24-0305249","2020-09-06",6010,Book of Legends,"888993"
"8288501161","31-7779154","2020-08-13",6010,Book of Legends,"888993"
"8667399541","35-9222579","2021-03-28",6010,Book of Legends,"888906"
"8667403069","35-9222579","2021-03-28",6010,Book of Legends,"888902"
